alpha,frame_index_alpha,frame_index_global,used_iterations,frame_bit_errors,is_codeword,ml_invoked,ml_calls_in_frame,error_vn_indices,error_vn_last5_energies,global_max_last5_energies,global_max_vn_indices_last5,ml_proposed_vn_indices,ml_proposed_error_overlap
0.015000,947770,947770,30,5,0,0,0,"396;481;710;783;1137","396:-2|-2|-2|-2|-2;481:-2|-2|-2|-2|-2;710:0|2|0|2|0;783:-2|-2|-2|-2|-2;1137:0|2|0|2|0","0|2|2|0|2","298/710/803/1137|946|62/155/489|298/710/803/1137|946","",""
0.015000,948023,948023,30,4,0,1,1,"411;477;779;1147","411:0|2|0|2|0;477:-2|0|-2|0|-2;779:-2|0|-2|0|-2;1147:0|2|0|2|0","0|2|2|0|2","60/411/426/1147|708/1059/1074|499|60/411/426/1147|708/1059/1074","156;267;355;404;411;791","411"
0.015000,948052,948052,30,9,0,1,15,"75;299;409;420;448;807;931;1147;1276","75:0|2|0|2|0;299:0|2|0|2|0;409:0|0|0|0|0;420:0|0|0|0|0;448:0|0|0|0|0;807:-4|-2|-4|-2|-4;931:0|-2|0|-2|0;1147:-2|-4|-2|-4|-2;1276:0|0|0|0|0","2|2|0|2|2","482|723/947/1130|381/393/628/687/767/778/827/861/864/899/941/981/991/1168/1255/1275|482|723/947/1130","482;75;150;210;299;363","75;299"
0.015000,948558,948558,30,3,0,1,1,"400;451;1199","400:0|2|0|2|0;451:-2|0|-2|0|-2;1199:0|0|0|0|0","0|2|2|0|2","400/776/807/1199|1048|159|400/776/807/1199|1048","365;606;26;328;400;776","400"
0.015000,948771,948771,30,4,0,0,0,"14;935;969;1256","14:-2|-2|-2|-2|-2;935:-2|0|-2|0|-2;969:0|2|0|2|0;1256:-2|0|-2|0|-2","0|2|2|0|2","580/969|1228|321|580/969|1228","",""
0.015000,949750,949750,30,6,0,0,0,"542;562;592;817;951;1242","542:2|0|2|2|0;562:0|0|4|-4|-4;592:0|-2|-2|-2|-4;817:-2|-2|-4|-4|-4;951:-4|-2|-2|-4|-2;1242:-2|-2|-2|-2|-2","2|0|0|4|2","542/927|2/26/216/217/227/266/434/454/669/1190/1210|279/299/650/654/674/684/865/875/1082/1102|562|1190","",""
0.015000,950099,950099,30,4,0,1,1,"193;380;462;989","193:2|0|2|0|2;380:2|0|2|0|2;462:0|-2|0|-2|0;989:0|-2|0|-2|0","2|0|0|2|0","83/193/380/655|75/83/167/193/351/367/385/427/491/597/731/841/1028|7/792/841/1033/1075/1139/1292|83/193/380/655|75/83/167/193/351/367/385/427/491/597/731/841/1028","200;83;189;231;278;350",""
0.015000,950307,950307,30,4,0,0,0,"87;88;797;1165","87:0|2|0|2|0;88:-2|0|-2|0|-2;797:-2|0|-2|0|-2;1165:0|2|0|2|0","0|2|2|0|2","87/390/1160/1165|735/1038|512/517|87/390/1160/1165|735/1038","",""
0.015000,950873,950873,30,4,0,0,0,"96;449;774;1168","96:2|0|2|0|2;449:0|-2|0|-2|0;774:-2|-2|-2|-2|-2;1168:0|-2|0|-2|0","2|0|0|2|0","96/459|180/190/363/364/498/504/628/638/744/1107|1011/1012/1146/1276|96/459|180/190/363/364/498/504/628/638/744/1107","",""
0.015000,951092,951092,30,5,0,1,1,"146;308;585;1087;1239","146:0|-2|0|-2|0;308:2|0|2|0|2;585:0|-2|0|-2|0;1087:2|0|2|0|2;1239:0|-2|-2|-4|0","2|0|0|2|0","130/308/884/1087|49/110/135/259/274/302/318/381/461/585/616/778/956/999|236/439/713/907/950/1029/1233|130/308/884/1087|49/110/135/167/259/274/302/318/461/562/585/616/778/956/999","130;351;848;884;1087;51","1087"
0.015000,951121,951121,30,4,0,1,1,"244;850;956;1285","244:0|2|0|2|0;850:-2|-2|-2|-2|-2;956:-2|0|-2|0|-2;1285:0|0|0|0|0","0|2|2|0|2","244/929/1248/1285|892|600|244/929/1248/1285|892","238;136;244;247;555;929","244"
0.015000,951759,951759,30,5,0,0,0,"157;273;620;628;1204","157:-2|-2|-2|-2|-2;273:2|0|2|0|2;620:0|-2|0|-2|0;628:-2|-2|-2|-2|-2;1204:0|-2|0|-2|0","2|0|0|2|0","273/550|14/224/321/400/434/442/553/561/635/921/1198|662/1048/1082/1201/1209|273/550|14/224/321/400/434/442/553/561/635/921/1198","",""
